jband,k,e
31,1.48899,-4.70332
31,1.51530,-4.71039
31,1.54161,-4.71991
31,1.56791,-4.72531
31,1.59422,-4.72372
31,1.62052,-4.70738
31,1.64683,-4.71044
31,1.67313,-4.70621
31,1.69944,-4.72249
31,1.72574,-4.73136
31,0.00000,-4.66995
31,0.02680,-4.69619
31,0.05360,-4.71085
31,0.08040,-4.71297
31,0.10720,-4.72114
31,0.13401,-4.72264
31,0.16081,-4.71674
31,0.18761,-4.71773
31,0.21440,-4.72184
31,0.24120,-4.72091
31,0.26800,-4.71676
31,0.29481,-4.70189
31,0.32161,-4.69521
31,0.34841,-4.69242
31,0.37521,-4.68545
31,0.40201,-4.68291
31,0.42881,-4.65601
31,0.45562,-4.64882
31,0.48219,-4.65992
31,0.50876,-4.67138
31,0.53534,-4.67036
31,0.56191,-4.68310
31,0.58849,-4.68602
31,0.61505,-4.69117
31,0.64162,-4.69224
31,0.66820,-4.70018
31,0.69477,-4.70795
31,0.72134,-4.71104
31,0.74791,-4.70537
31,0.77449,-4.70369
31,0.80106,-4.70228
31,0.82763,-4.70180
31,0.85393,-4.70212
31,0.88024,-4.70342
31,0.90654,-4.70888
31,0.93285,-4.71831
31,0.95915,-4.70733
31,0.98546,-4.69524
31,1.01176,-4.68906
31,1.03807,-4.68817
31,1.06437,-4.68264
31,1.09068,-4.68018
31,1.11726,-4.68830
31,1.14382,-4.68516
31,1.17040,-4.70010
31,1.19697,-4.71633
31,1.22355,-4.72164
31,1.25012,-4.72909
31,1.27668,-4.73782
31,1.30326,-4.73743
31,1.32983,-4.73177
31,1.35641,-4.72743
31,1.38298,-4.71490
31,1.40955,-4.71184
32,1.43612,-4.70022
32,1.46269,-4.66995
32,1.48899,-4.69690
32,1.51530,-4.70544
32,1.54161,-4.70737
32,1.56791,-4.71151
32,1.59422,-4.70280
32,1.62052,-4.69690
32,1.64683,-4.70110
32,1.67313,-4.69638
32,1.69944,-4.70093
32,1.72574,-4.70180
32,0.00000,-1.88176
32,0.02680,-1.86667
32,0.05360,-1.82816
32,0.08040,-1.76335
32,0.10720,-1.67384
32,0.13401,-1.56059
32,0.16081,-1.42487
32,0.18761,-1.26830
32,0.21440,-1.09274
32,0.24120,-0.90155
32,0.26800,-0.72071
32,0.29481,-0.66209
32,0.32161,-0.77115
32,0.34841,-0.83623
32,0.37521,-0.88904
32,0.40201,-0.93084
32,0.42881,-0.95704
32,0.45562,-0.96611
32,0.48219,-0.95797
32,0.50876,-0.93450
32,0.53534,-0.89668
32,0.56191,-0.84771
32,0.58849,-0.79123
32,0.61505,-0.65186
32,0.64162,-0.84039
32,0.66820,-1.05774
32,0.69477,-1.24869
32,0.72134,-1.41200
32,0.74791,-1.54667
32,0.77449,-1.65027
32,0.80106,-1.71728
32,0.82763,-1.74074
32,0.85393,-1.73762
32,0.88024,-1.72827
32,0.90654,-1.71276
32,0.93285,-1.69216
32,0.95915,-1.66863
32,0.98546,-1.64469
32,1.01176,-1.62260
32,1.03807,-1.60406
32,1.06437,-1.59125
32,1.09068,-1.58663
32,1.11726,-1.59138
32,1.14382,-1.60489
32,1.17040,-1.62530
32,1.19697,-1.65098
32,1.22355,-1.68020
32,1.25012,-1.71141
32,1.27668,-1.74358
32,1.30326,-1.77530
32,1.32983,-1.80471
32,1.35641,-1.83008
32,1.38298,-1.85035
33,1.40955,-1.86511
33,1.43612,-1.87362
33,1.46269,-1.88176
33,1.48899,-1.87401
33,1.51530,-1.86585
33,1.54161,-1.85203
33,1.56791,-1.83364
33,1.59422,-1.81262
33,1.62052,-1.79155
33,1.64683,-1.77226
33,1.67313,-1.75605
33,1.69944,-1.74486
33,1.72574,-1.74074
33,0.00000,-1.87803
33,0.02680,-1.86116
33,0.05360,-1.81147
33,0.08040,-1.74074
33,0.10720,-1.64896
33,0.13401,-1.53498
33,0.16081,-1.39953
33,0.18761,-1.24450
33,0.21440,-1.07250
33,0.24120,-0.89092
33,0.26800,-0.70291
33,0.29481,-0.60669
33,0.32161,-0.56784
33,0.34841,-0.63153
33,0.37521,-0.64841
33,0.40201,-0.65973
33,0.42881,-0.66505
33,0.45562,-0.66658
33,0.48219,-0.66510
33,0.50876,-0.65813
33,0.53534,-0.64467
33,0.56191,-0.62180
33,0.58849,-0.59097
33,0.61505,-0.60301
33,0.64162,-0.67281
33,0.66820,-0.83478
33,0.69477,-1.03935
33,0.72134,-1.22493
33,0.74791,-1.37888
33,0.77449,-1.49230
33,0.80106,-1.56115
33,0.82763,-1.58429
33,0.85393,-1.54270
33,0.88024,-1.42552
33,0.90654,-1.24540
33,0.93285,-1.01761
33,0.95915,-0.76029
33,0.98546,-0.69488
33,1.01176,-0.74400
33,1.03807,-0.77890
33,1.06437,-0.79977
33,1.09068,-0.80631
33,1.11726,-0.79984
33,1.14382,-0.77911
